"동별(1)","항목","시점",합계
"종로구","계","2019",161869
"중구","계","2019",136488
"용산구","계","2019",245185
"성동구","계","2019",308979
"광진구","계","2019",366972
"동대문구","계","2019",363023
"중랑구","계","2019",402024
"성북구","계","2019",454744
"강북구","계","2019",317695
"도봉구","계","2019",335631
"노원구","계","2019",537303
"은평구","계","2019",484546
"서대문구","계","2019",323171
"마포구","계","2019",385925
"양천구","계","2019",462285
"강서구","계","2019",598273
"구로구","계","2019",439371
"금천구","계","2019",251820
"영등포구","계","2019",400986
"동작구","계","2019",408912
"관악구","계","2019",517334
"서초구","계","2019",435107
"강남구","계","2019",550209
"송파구","계","2019",682741
"강동구","계","2019",440390
